rxcui 	 uniis 	 inchikeys 
1356129	GKN429M9VS	MDIGAZPGKJFIAH-UHFFFAOYSA-N
1356128	F67L43UT5C	KLQNARDFMJRXSF-UHFFFAOYSA-M
1546861	G5914Q15B6	
1547470	Z4CCI5NZ66	
539399	TLE294X33A	DCYOBGZUOMKFPA-UHFFFAOYSA-N
968498	GH42T47V24	
1811251	CHL342Y4LA	
1811253	DPR4R122E7	
1811252	E57JT172V7	MGIYRDNGCNKGJU-UHFFFAOYSA-N
314731	FBW237ALKD	
1376501	TLA53E5A4T	
7213	GR88G0I6UL	
6211	J2B2A4N98G	
6218	9U7D5QH5AE	
6818	COZ1R7EOCC	XWALNWXLMVGSFR-HLXURNFRSA-N
1855195	5DWS84R85M	
6813	UC6VBE7V1Z	
6812	IR235I7C5P	MHIGBKBJSQVXNH-IWVLMIASSA-N
6814	L59OC40KWJ	
6817	5730Z864KG	WRWBCPJQPDHXTJ-DTMQFJJTSA-N
6816	44RAL3456C	MYWUZJCMWCOHBA-VIFPVBQESA-N
10579	02KSI6Z9AK	
1425924	4042ZC00DY	DZKXJUASMGQEMA-UHFFFAOYSA-N
1674188	KTC40CLC68	MQOCIYICOGDBSG-UHFFFAOYSA-M
1654961	832X5KK78Y	
1866045	233VSF903M	
475230	SX0XJI3A11	MEUCPCLKGZSHTA-XYAYPHGZSA-N
1366232	T74O12AN6Y	
1425923	58U0NZN2BT	FNMPODAQERUMDD-UHFFFAOYSA-N
1362928	Q613OCQ44Y	
1370827	8EIY1IHX76	
1872246	QN34XC755A	PNNNRSAQSRJVSB-BXKVDMCESA-N
1872249	5Z5A89AQ44	KWORKYDIARWARF-QVIHXGFCSA-N
1362925	BR9JLI40NO	UAOMVDZJSHZZME-UHFFFAOYSA-N
1362926	IYE3F3MHCU	
1362927	DIQ16UC154	MOTZDAYCYVMXPC-UHFFFAOYSA-N
1362920	YG3J18T1UX	KQDIGHIVUUADBZ-PEDHHIEDSA-N
1362921	UF064M00AF	FLKPEMZONWLCSK-UHFFFAOYSA-N
1362922	0W44HYL8T5	
17384	568Z59H7ZJ	MTEOMEWVDVPTNN-UHFFFAOYSA-E
236025	6DZH9J3B27	
54908	6I19M5GB0G	
1661433	8904DO502T	APZYKUZPJCQGPP-UHFFFAOYSA-N
1661434	2UQQ0PI06P	
