rxcui 	 drugbank ids with divided |
5521	DB01611
9509	DB12418
6466	DB01206
40575	DB00744
89753	DB00233
114817	DB08806
25842	DB04564
11170	DB00661
72937	DB00323
44	DB09110
1292	DB00181
495881	DB00398
47579	DB00248
9384	DB01045
73645	DB00577
594680	DB00632
266663	DB00716
27199	DB00741
1440264	DB08878
82048	DB00948
82047	DB00916
1298840	DB00180
1298842	DB00715
82043	DB01227
8001	DB00652
27196	DB00741
27197	DB00741
28198	DB08940
15070	DB08905
155122	DB04824
1251576	DB11421
3194	DB03619
1362	DB01075
1648126	DB11596
1361	DB09023
1482790	DB06290
236457	DB08800
1369	DB00436
