stitch id flat 	 stitch id stereo 	 drugbank ids seperated with |
CID100004594	CID000004594	DB00338
CID100004595	CID000004595	DB00904
CID100004601	CID000004601	DB01173
CID100003382	CID000009642	DB01047
CID100004614	CID000004614	DB00991
CID100004616	CID000004616	DB00842
CID106918670	CID006918670	DB05013
CID100037392	CID000037392	DB01218
CID100002828	CID005284371	DB00318
CID100023982	CID000023982	DB00225|DB00597
CID100004631	CID000004631	DB01580
CID100004634	CID000004634	DB01062
CID100003062	CID002724385	DB00390
CID100004870	CID000004870	DB01324
CID100004649	CID000004649	DB00233
CID100002141	CID000002141	DB01143
CID100003706	CID005362440	DB00224
CID100000564	CID000000564	DB00513|DB04134
CID142611257	CID042611257	DB08881
CID100004673	CID000004673	DB00282
CID100002269	CID000447043	DB00207
CID100004679	CID000004679	DB00213
CID100004680	CID000004680	DB01113|DB07725
CID100096312	CID003011155	DB01280
CID100005352	CID001548886	DB00605
CID100004724	CID000037464	DB01359
CID100010340	CID000010340	DB01390
CID100483407	CID003002977	DB04835
CID100000158	CID005280360	DB00917
CID100003516	CID000003516	DB00874
CID100005645	CID000031401	DB01586
CID100004725	CID000004725	DB01730|DB00299
CID100002173	CID000006249	DB00415
CID100004735	CID000004735	DB00738
CID100004737	CID000004737	DB00312
CID100004740	CID000004740	DB00806
CID105493381	CID005493381	DB01609
CID100002156	CID000002156	DB01118
CID100004746	CID000004746	DB01074
CID100004747	CID000004747	DB01608
CID100004748	CID000004748	DB00850
CID100005300	CID000029327	DB00428
CID100004756	CID000004756	DB01438
CID100002800	CID001548952	DB00882
CID100148121	CID000148121	DB06813
CID100003143	CID000148123	DB01248
CID100004768	CID000004768	DB00925
CID100006256	CID000006256	DB00432
CID100004771	CID000004771	DB00191
CID100005064	CID000037542	DB00811
CID100004775	CID000004775	DB02000
CID144462760	CID044462760	DB08912
CID100000681	CID000000681	DB00988
CID100005577	CID000005577	DB00662
CID100003015	CID005284537	DB04839
CID100000700	CID000000700	DB03994
CID100003063	CID005284543	DB01551
CID100216209	CID005493444	DB01258
CID100003154	CID005284549	DB04507|DB00869
CID100005402	CID001549007	DB00857
CID100041684	CID000041684	DB00507
CID100002650	CID005481173	DB00438
CID100000727	CID000000727	DB00431
CID103085017	CID003085017	DB00658
CID100003648	CID005284570	DB00327
CID100004828	CID000004828	DB00960
CID100004829	CID000004829	DB01132
CID100148192	CID000148192	DB01072
CID100123619	CID000123619	DB07166|DB01628
CID111707110	CID011707110	DB08911
CID100150311	CID000150311	DB00973
CID100004845	CID000004845	DB01291
CID100000750	CID000000750	DB00145
CID100123631	CID000123631	DB00317|DB07998
CID100000753	CID000000753	DB04077
CID100148211	CID000148211	DB00377
CID100004425	CID005284596	DB01183
CID100004635	CID005284603	DB00497
CID100004639	CID005284604	DB01192
CID100005376	CID002733525	DB00675
CID100156418	CID000156418	DB01012
CID100000772	CID000000772	DB01225|DB00407
CID100000774	CID000000774	DB05381|DB05891|DB00667
