stitch id flat 	 stitch id stereo 	 drugbank ids seperated with |
CID100060706	CID000060706	DB00760
CID100003367	CID000657237	DB04441
CID100000723	CID000444266	DB01677|DB01620|DB04299
CID100002684	CID000083898	DB00185
CID100000274	CID000006076	DB02527
CID100005396	CID000452548	DB00444
CID100002019	CID000002019	DB00970
CID100003251	CID011954223	DB00696
CID116136245	CID016136245	DB06699
CID100213023	CID009578572	DB06695
CID125880664	CID025880664	DB00759
CID100001065	CID000008549	DB00908|DB00468
CID100004454	CID000004454	DB00452|DB00994
CID100003746	CID000043232	DB00332
CID100002341	CID000002341	DB00865
CID100002349	CID000002349	DB01053
CID100122197	CID003086674	DB08824
CID100002522	CID005282134	DB02300
CID100104799	CID000104799	DB04106
CID100051577	CID000051577	DB00491
CID100000143	CID006560147	DB00650|DB03256
CID100002462	CID000002462	DB01222
CID100000214	CID006433212	DB00770
CID116065945	CID024873435	DB06290
CID100002524	CID000002524	DB00136|DB05314
CID100016759	CID006433328	DB06689
CID100002232	CID000092721	DB00278
CID100002610	CID000002610	DB01140
CID100002617	CID000002617	DB01327
CID100054373	CID000383413	DB00104
CID100003890	CID005282380	DB00654
CID100027991	CID005311065	DB00035
CID100000159	CID005282411	DB01240
CID100047725	CID000047725	DB00014
CID100004443	CID000060026	DB00731
CID100002344	CID000006832	DB00245
CID106331630	CID053320414	DB08871
CID100072466	CID000072466	DB00290
CID100060184	CID000060184	DB00790
CID100003623	CID005282593	DB02161
CID100315411	CID000445226	DB02228|DB04282|DB04084|DB04483
CID100003171	CID000092974	DB06262
CID100004666	CID000441276	DB01229
CID100003009	CID000003009	DB03856
CID100003043	CID000003043	DB00900|DB02392
CID100002891	CID005311498	DB00115
CID100216237	CID000216237	DB06212
CID100003008	CID005360696	DB00514
CID100003154	CID000003154	DB04507|DB00869
CID100003158	CID000003158	DB01142
CID100002631	CID006540461	DB00493
CID100003661	CID000064691	DB00424|DB00572
CID100060612	CID000060612	DB00633
CID100003928	CID000064710	DB01627
CID100003279	CID000003279	DB00330
CID100024748	CID000064730	DB01914
CID100003419	CID006708482	DB00492
CID100156326	CID000163091	DB06216
CID100003364	CID000003364	DB00301
CID100005106	CID009567573	DB00778
CID100027991	CID000027991	DB00035
CID100005672	CID000060779	DB00361
CID100003475	CID000003475	DB01120
CID100060830	CID000060830	DB01409
CID100002487	CID005361092	DB00611
CID100004666	CID005352019	DB01229
CID100036339	CID000036339	DB00292
CID100002675	CID006321411	DB00671
CID100003623	CID000003623	DB02161
CID100003661	CID000003661	DB00424|DB00572
CID100096312	CID000151121	DB01280
CID100005454	CID000941650	DB01623
CID100003793	CID006917738	DB01167
