unii 	 drugbank_id 
D2G5508Y7I	DB00219
S9421HWB3Z	DB00219
HO3OGH5D7I	DB00220
98D603VP8V	DB00220
YV0SN3276Q	DB00221
51V8U784H3	DB00221
DV74WJ5PJB	DB00221
6KY687524K	DB00222
T2DHJ9645W	DB00223
7W2J09SCWX	DB00223
9MG78X43ZT	DB00224
5W6YA9PKKH	DB00224
771H53976Q	DB00224
84F6U3J2R6	DB00225
0RPE15QPL0	DB00225
765C9332T4	DB00226
MT147RMO91	DB00226
9LHU78OQFD	DB00227
91I69L5AY5	DB00228
91W6Z2N718	DB00229
H7V12WDZ93	DB00229
55JG375S6M	DB00230
CHB1QD2QSS	DB00231
9F3H3E4BIM	DB00231
IA4EP07006	DB00231
I1HX8463I0	DB00231
L3H46UAC61	DB00232
5B2658E0N2	DB00233
73I4QDW01W	DB00233
T9ZKL3TNQF	DB00233
9VF16M7FWU	DB00233
7N21461LKD	DB00233
S38B9W6AXW	DB00233
947S0YZ36I	DB00234
L94J81YNNY	DB00234
JU9YAX04C7	DB00235
9K8XR81MO8	DB00235
6Q99RDT97R	DB00236
P0078O25A9	DB00237
9WTD50I918	DB00237
99DK7FVK1H	DB00238
C668Q9I33J	DB00239
RQ8UL4C17S	DB00239
136H45TB7B	DB00240
S56PQL4N1V	DB00240
KHS0AZ4JVK	DB00241
BBH31P2ABJ	DB00241
47M74X9YT5	DB00242
A6IEZ5M406	DB00243
F71253DJUN	DB00243
4Q81I59GXC	DB00244
1NHL2J4X8K	DB00245
WMJ8TL7510	DB00245
6UKA5VEJ6X	DB00246
216X081ORU	DB00246
3X6SAX83JZ	DB00246
XZA9HY6Z98	DB00247
2U7H1466GH	DB00247
LL60K9J05T	DB00248
LGP81V5245	DB00249
8W5C518302	DB00250
0KJ2VE664U	DB00251
6158TKW0C5	DB00252
4182431BJH	DB00252
D2UFC189XF	DB00253
334895S862	DB00254
8ZL07I20SB	DB00254
19XTS3T51U	DB00254
4182Z6T2ET	DB00254
N12000U13O	DB00254
731DCA35BT	DB00255
A0E0NMA80F	DB00255
7D6EM3S13P	DB00256
G07GZ97H65	DB00257
Y882YXF34X	DB00258
7ZA48GIM5H	DB00258
21240MF57M	DB00259
95IK5KI84Z	DB00260
K9X45X0051	DB00261
VNS4435G39	DB00261
U68WG3173Y	DB00262
740T4C525W	DB00263
WBT5QH3KED	DB00263
30S4B46J8B	DB00263
GEB06NHM23	DB00264
IO1C09Z674	DB00264
TH25PD4CCB	DB00264
W5S57Y3A5L	DB00264
2EEH27851Y	DB00265
7QID3E7BG7	DB00266
KBZ4844CXN	DB00267
NON736D32W	DB00267
030PYR8953	DB00268
D7ZD41RZI9	DB00268
6V5034L121	DB00269
YO1UK1S598	DB00270
5UVC90J1LK	DB00271
3X9MR4N98U	DB00271
V5403H8VG7	DB00271
1C065P542O	DB00272
66ABP6C83F	DB00272
0H73WJJ391	DB00273
P956SY6RA6	DB00273
SMU8E1YBZ3	DB00273
N808MSN0PT	DB00273
3J962UJT8H	DB00274
37Y9VR4W7A	DB00274
8W1IQP3U10	DB00275
6M97XTV3HD	DB00275
00DPD30SOY	DB00276
M4P91439UZ	DB00276
U66HX4K4CO	DB00276
7LWQ0T63UA	DB00276
C137DTR5RG	DB00277
2S36N8T753	DB00277
0DW7MIH1VX	DB00278
IY90U61Z3S	DB00278
06LU7C9H1V	DB00279
GCA9VV7D2N	DB00279
GFO928U8MQ	DB00280
N6BOM1935W	DB00280
98PI200987	DB00281
V13007Z41A	DB00281
EC2CNF7XFP	DB00281
OYY3447OMC	DB00282
8742T8ZQZA	DB00282
95QN29S1ID	DB00283
19259EGQ3D	DB00283
T58MSI464G	DB00284
GRZ5RCB1QG	DB00285
7D7RX5A8MO	DB00285
IU5QR144QX	DB00286
WJ68R08KX9	DB00287
423W026MA9	DB00288
ASW034S0B8	DB00289
57WVB6I2W0	DB00289
13M89UEA7W	DB00290
7DP3NTV15T	DB00290
18D0SL7309	DB00291
Z22628B598	DB00292
FCB9EGG971	DB00293
304GTH6RNH	DB00294
76I7G6D29C	DB00295
VEO43W5229	DB00295
J28GE0ROVX	DB00295
QXB8THK8QY	DB00295
DV2P23JCWV	DB00295
1LQ9207LZE	DB00295
DY70C97N30	DB00295
X3P646A2J0	DB00295
U3NSU23LHD	DB00295
7IO5LYA57N	DB00296
V910P86109	DB00296
Y8335394RO	DB00297
AKA908P8J1	DB00297
7TQO7W3VT8	DB00297
5RNZ8GJO7K	DB00298
DS9UJN1I0X	DB00298
359HUE8FJC	DB00299
P06226385L	DB00299
F4YU4LON7I	DB00300
OTT9J7900I	DB00300
43B2M34G2V	DB00301
LMG7C674WJ	DB00301
6T84R30KC1	DB00302
G32F6EID2H	DB00303
2T90KE67L0	DB00303
81K9V7M3A3	DB00304
50SG953SK6	DB00305
4YIR8202AX	DB00306
A61RXM4375	DB00307
2436VX1U9B	DB00308
9L5X4M5L6I	DB00308
RSA8KO39WH	DB00309
CPH2U7DNDY	DB00309
Q0MQD1073Q	DB00310
Z52H4811WX	DB00311
I4744080IR	DB00312
NJJ0475N0S	DB00312
614OI1Z5WI	DB00313
644VL95AO6	DB00313
5VOM6GYJ0D	DB00313
232HYX66HC	DB00314
9H8D3J7V21	DB00314
2FS66TH3YW	DB00315
362O9ITL9D	DB00316
S65743JHBS	DB00317
UX6OWY2V7J	DB00318
406LPJ779Q	DB00318
Q830PW7520	DB00318
2X585M1M3T	DB00318
GSL05Y1MN6	DB00318
AVW5HY4N2E	DB00318
11QV9BS0CB	DB00318
X00B0D5O0E	DB00319
M98T69Q7HP	DB00319
436O5HM03C	DB00320
81AXN7R2QT	DB00320
76F2R89O7X	DB00320
1806D8D52K	DB00321
26LUD4JO9K	DB00321
YX6VNM127F	DB00321
039LU44I5M	DB00322
CIF6334OLY	DB00323
SV0CSG527L	DB00324
9I50C3I3OK	DB00324
169D1260KM	DB00325
EAO03PE1TC	DB00325
KA4WR2LS00	DB00326
Q812464R06	DB00327
L960UP2KRW	DB00327
75Y990NH3Z	DB00327
XXE1CET956	DB00328
0IMX38M2GG	DB00328
8G167061QZ	DB00330
QE4VW5FO07	DB00330
9100L32L2N	DB00331
786Z46389E	DB00331
VJV4X1P2Z1	DB00332
J697UZ2A9J	DB00332
UC6VBE7V1Z	DB00333
229809935B	DB00333
N7U69T4SZR	DB00334
0Q8K2L0MC3	DB00334
X7S6Q4MHCB	DB00334
0KNI3MFH5F	DB00334
50VV3VW0TI	DB00335
X8XI70B5Z6	DB00336
7KYV510875	DB00337
KG60484QX9	DB00338
426QFE7XLK	DB00338
KV03YZ6QLW	DB00338
2KNI5N06TI	DB00339
32VY6L26ZW	DB00340
84L8XK6N1G	DB00340
YO7261ME24	DB00341
64O047KTOA	DB00341
7BA5G9Y06Q	DB00342
EE92BBP03H	DB00343
OLH94387TE	DB00343
14Y6444DRP	DB00343
896626Q8XW	DB00343
4NDU154T12	DB00344
44665V00O8	DB00344
Y79XT83BJ9	DB00345
SUO3KVS1O9	DB00345
90347YTW5F	DB00346
75046A1XTN	DB00346
R7GV3H6FQ4	DB00347
K5BN214699	DB00348
2MRO291B4U	DB00349
5965120SH1	DB00350
TJ2M0FR8ES	DB00351
WIX31ZPX66	DB00352
W53L6FE61V	DB00353
IR84JPZ1RK	DB00353
5EDH242U9O	DB00353
0C94V6X681	DB00354
58FQD093NU	DB00354
G2B4VE5GH8	DB00355
XNM7LT65NP	DB00355
