flat_chemical_id	stereo_chemical_id	source_cid	inchikey
CIDm00216416	CIDs10527519	10527520	GXESHMAMLJKROZ-IXCJQBJRSA-N
CIDm00000160	CIDs10546337	10546337	PXGPLTODNUVGFL-GKXIJXHQSA-N
CIDm00003370	CIDs00010572	10572	SYWHXTATXSMDSB-NAMLDHCASA-N
CIDm00179344	CIDs10590023	10590023	QIALRBLEEWJACW-MRXNPFEDSA-N
CIDm00000160	CIDs10594579	10594579	PXGPLTODNUVGFL-MLZNBCJCSA-N
CIDm00102258	CIDs10626481	10626481	KXSPLNAXPMVUEC-RFHFOIJJSA-N
CIDm00157688	CIDs10629256	10629256	NMDYYWFGPIMTKO-KLCPSUAYSA-N
CIDm00010631	CIDs00010631	10631	FRQMUZJSZHZSGN-HBNHAYAOSA-N
CIDm00073303	CIDs10645796	10645796	AVAACINZEOAHHE-RRDOJEEWSA-N
CIDm00005419	CIDs00005419	10648	BJORNXNYWNIWEY-UHFFFAOYSA-N
CIDm00003053	CIDs00003053	106498	HHUFQUWZCSGXNA-UHFFFAOYSA-J
CIDm00003053	CIDs00003053	106499	KHLLTQULCYNAJG-UHFFFAOYSA-I
CIDm00216416	CIDs00216416	10671241	SFWYWKVSAHDQRB-HBYDGSNJSA-N
CIDm00000160	CIDs10690399	10690399	PXGPLTODNUVGFL-GKGFACONSA-N
CIDm00007187	CIDs10706079	10706079	OMPJBNCRMGITSC-WCGVKTIYSA-N
CIDm00216416	CIDs09887973	10718363	SFWYWKVSAHDQRB-DMCZFVKOSA-N
CIDm00071348	CIDs10724880	10724880	PUDHBTGHUJUUFI-MRVGVATPSA-N
CIDm00073303	CIDs10740815	10740815	AVAACINZEOAHHE-MPVQUNCYSA-N
CIDm00071348	CIDs10748701	10748701	PUDHBTGHUJUUFI-CHCYPAMJSA-N
CIDm00004101	CIDs10749368	10749368	VKYKSIONXSXAKP-YROCTSJKSA-N
CIDm00000222	CIDs00107639	107639	QGZKDVFQNNGYKY-OUBTZVSYSA-N
CIDm00073303	CIDs10764614	10764614	AVAACINZEOAHHE-VRGHXPGPSA-N
CIDm00107694	CIDs00107694	107694	RWYFURDDADFSHT-RBBHPAOJSA-N
CIDm00002367	CIDs00065478	107782	VQODGRNSFPNSQE-DVTGEIKXSA-N
CIDm00071348	CIDs10796238	10796238	PUDHBTGHUJUUFI-HUZRFOFRSA-N
CIDm00107994	CIDs00107994	107994	FLSLEGPOVLMJMN-YSSFQJQWSA-N
CIDm00003737	CIDs00003737	108026	UXIGWFXRQKWHHA-UHFFFAOYSA-M
CIDm00000160	CIDs10832988	10832988	PXGPLTODNUVGFL-WEMOGKSOSA-N
CIDm00001084	CIDs00001084	1084	DHCDFWKWKRSZHF-UHFFFAOYSA-L
CIDm00005199	CIDs10865794	10865794	IPQVTOJGNYVQEO-WCFDMJMASA-N
CIDm00004101	CIDs10866437	10866437	VKYKSIONXSXAKP-NJFSPNSNSA-N
CIDm00061475	CIDs00061475	108762	MCYYJHPHBOPLMH-UHFFFAOYSA-L
CIDm00012597	CIDs10877250	10877250	KLDXJTOLSGUMSJ-LAXKNYFCSA-N
CIDm00054313	CIDs10937300	10937300	HIFJCPQKFCZDDL-UGQITTIWSA-N
CIDm00012597	CIDs10975624	10975624	KLDXJTOLSGUMSJ-KVTDHHQDSA-N
CIDm00006436	CIDs10982942	10982942	YNDXUCZADRHECN-DSJQMHKESA-N
CIDm11001318	CIDs11001318	11001318	TXEIIPDJKFWEEC-UHFFFAOYSA-N
CIDm00000160	CIDs11002729	11002729	PXGPLTODNUVGFL-XNTKLVSTSA-N
CIDm00005565	CIDs00005565	110322	FJVXPUQABYUGEF-UHFFFAOYSA-N
CIDm00004101	CIDs00004101	11042275	RDOZMBAUVXVXCJ-UHFFFAOYSA-N
CIDm00021630	CIDs11044481	11044481	YBGZDTIWKVFICR-VOMSXAGXSA-N
CIDm00000160	CIDs11068211	11068211	PXGPLTODNUVGFL-LBHGIJFJSA-N
CIDm00000160	CIDs00011081	11081	PXGPLTODNUVGFL-BRIYLRKRSA-N
CIDm00023993	CIDs02733939	11092715	LZUDTVYQOGANGU-UHFFFAOYSA-N
CIDm00011125	CIDs00011125	11125	XGZVUEUWXADBQD-UHFFFAOYSA-L
CIDm00105145	CIDs06337616	11147669	CKHJYUSOUQDYEN-AHCXROLUSA-N
CIDm09930048	CIDs11175511	11175511	VBHQKCBVWWUUKN-OKZBNKHCSA-N
CIDm09930048	CIDs11188321	11188321	JMHYCBFEEFHTMK-UHFFFAOYSA-N
CIDm09930048	CIDs11188321	11188322	VBHQKCBVWWUUKN-UHFFFAOYSA-N
CIDm00044563	CIDs00044563	11192129	JJOFNSLZHKIJEV-UHFFFAOYSA-N
CIDm00024393	CIDs00024393	11198808	GWOQXSFSRWCLDA-UHFFFAOYSA-K
CIDm00064929	CIDs00064929	11227697	QYYXIRMPCSLNQM-UHFFFAOYSA-L
CIDm00004810	CIDs00004810	11231255	ZZPAWQYZQVUVHX-UHFFFAOYSA-N
CIDm11234049	CIDs11234049	11234049	XFALPSLJIHVRKE-GFCCVEGCSA-N
CIDm00105145	CIDs05464084	11240419	CKHJYUSOUQDYEN-OIOBTWANSA-N
CIDm11254352	CIDs11254352	11254352	PKNUOQOQWGOWBO-ZBHRUSISSA-N
CIDm09930048	CIDs11268116	11268116	VBHQKCBVWWUUKN-KURKYZTESA-N
CIDm00004568	CIDs11286230	11286230	VQOXZBDYSJBXMA-NQTDYLQESA-N
CIDm00000785	CIDs00000785	11286579	IDKLLZBLEVRZEZ-UHFFFAOYSA-L
CIDm09930048	CIDs11291023	11291023	VBHQKCBVWWUUKN-FGTMMUONSA-N
CIDm00002442	CIDs11291924	11291924	OJGDCBLYJGHCIH-ZRPMTONJSA-N
CIDm00000160	CIDs11302680	11302680	PXGPLTODNUVGFL-DCCGFWISSA-N
CIDm11304743	CIDs11304743	11304743	WXXSNCNJFUAIDG-UHFFFAOYSA-N
CIDm09930048	CIDs11314082	11314082	VBHQKCBVWWUUKN-AOCRQIFASA-N
CIDm00102258	CIDs00102258	11319061	VPXDHZMLJOJKOX-ZNFCZCJPSA-N
CIDm00002442	CIDs11326400	11326400	OJGDCBLYJGHCIH-KNXIQCGSSA-N
CIDm00060496	CIDs00060496	11330522	ZPBWCRDSRKPIDG-UHFFFAOYSA-N
CIDm06326970	CIDs11332415	11332415	BUGBHKTXTAQXES-YPZZEJLDSA-N
CIDm09930048	CIDs11338149	11338149	JMHYCBFEEFHTMK-QQBJDQAASA-N
CIDm09930048	CIDs11338149	11338150	VBHQKCBVWWUUKN-RCCFBDPRSA-N
CIDm05310993	CIDs05310993	11344302	APTVATQAOBWAAS-UHFFFAOYSA-M
CIDm09930048	CIDs11314082	11349672	JMHYCBFEEFHTMK-LQLXLQOXSA-N
CIDm00157688	CIDs09811125	11355265	YIHUEPHBPPAAHH-DMLIMUTLSA-N
CIDm06326970	CIDs11355436	11355436	BUGBHKTXTAQXES-OIOBTWANSA-N
CIDm00060496	CIDs11365087	11365087	ZPBWCRDSRKPIDG-LMOVPXPDSA-N
CIDm00003783	CIDs00003783	11368	QVPSGVSNYPRFAS-UHFFFAOYSA-N
CIDm00000785	CIDs11389380	11389380	QIGBRXMKCJKVMJ-UDDMDDBKSA-N
CIDm09930048	CIDs11405385	11405385	VBHQKCBVWWUUKN-KSZLIROESA-N
CIDm00000160	CIDs11405672	11405672	PXGPLTODNUVGFL-MAWYNYFDSA-N
CIDm00002663	CIDs11406333	11406333	JOATXPAWOHTVSZ-INIZCTEOSA-N
CIDm00002308	CIDs11407187	11407187	NBMKJKDGKREAPL-CXSFZGCWSA-N
CIDm00003053	CIDs00003053	11408090	MFHDNGTWHKDSHM-UHFFFAOYSA-N
CIDm11431716	CIDs11431716	11431716	JLJSYHOPCNWUNE-IEOVAKBOSA-N
CIDm09930048	CIDs11439501	11439501	VBHQKCBVWWUUKN-BZSNNMDCSA-N
CIDm06328526	CIDs11443491	11443491	BLALCKLYSDDAOC-JWFOFJTQSA-N
CIDm11254352	CIDs11454221	11454221	IEVLQVRSPCMLHH-ZMTZVRHWSA-N
CIDm00105145	CIDs05488452	11457651	CKHJYUSOUQDYEN-YPZZEJLDSA-N
CIDm00004810	CIDs11459289	11459289	WPNJAUFVNXKLIM-QYAYVTKFSA-N
CIDm09930048	CIDs11439501	11463300	JMHYCBFEEFHTMK-UVJOBNTFSA-N
CIDm00005202	CIDs00005202	11469926	MDIGAZPGKJFIAH-UHFFFAOYSA-N
CIDm00114709	CIDs00114709	114709	BMPDWHIDQYTSHX-UHFFFAOYSA-N
CIDm09930048	CIDs11473540	11473540	VBHQKCBVWWUUKN-SQNIBIBYSA-N
CIDm00114753	CIDs00114753	114753	DCERVXIINVUMKU-UHFFFAOYSA-N
CIDm00005727	CIDs00167174	11493111	IYBCULKOHOEVED-UHFFFAOYSA-L
CIDm00023951	CIDs00114939	114939	KZUNJOHGWZRPMI-OUBTZVSYSA-N
CIDm00023951	CIDs00114941	114941	KZUNJOHGWZRPMI-AKLPVKDBSA-N
CIDm11499245	CIDs11499245	11499245	LFQDNHWZDQTITF-UHFFFAOYSA-N
CIDm11501341	CIDs11501341	11501341	NCWZOASIUQVOFA-FWZJPQCDSA-N
CIDm09930048	CIDs11501907	11501907	JMHYCBFEEFHTMK-CEYVOKQTSA-N
CIDm09930048	CIDs11501907	11501908	VBHQKCBVWWUUKN-OWZOALSMSA-N
CIDm00025959	CIDs00025959	115022	XYZXOFUXTBSQQI-UHFFFAOYSA-N
CIDm09800339	CIDs11504294	11504294	VGDGWRKEAOZJDN-GCQRLXCUSA-N
CIDm09800339	CIDs11504294	11504295	COUYJEVMBVSIHV-SFHVURJKSA-N
CIDm11505907	CIDs11505907	11505907	ZIYHTKGQQJDOEM-UHFFFAOYSA-N
CIDm00003680	CIDs01150657	1150657	AKUJBENLRBOFTD-LOMWDVCLSA-N
CIDm00000160	CIDs00115154	115154	PXGPLTODNUVGFL-QXCZDIPSSA-N
CIDm00005565	CIDs00005565	11516486	SCVIYTAVKJBBEL-UHFFFAOYSA-N
CIDm09930048	CIDs11516584	11516584	JMHYCBFEEFHTMK-MDJDKQEGSA-N
CIDm09930048	CIDs11516584	11516585	VBHQKCBVWWUUKN-LMFIFHKZSA-N
CIDm11519069	CIDs11519069	11519069	PEJHHXHHNGORMP-UHFFFAOYSA-M
CIDm11519069	CIDs11519069	11519070	FVTWTVQXNAJTQP-UHFFFAOYSA-N
CIDm00002547	CIDs11520320	11520320	JNIIDKODPGHQSS-FPOOJUBBSA-N
CIDm09800339	CIDs11504294	11526233	VGDGWRKEAOZJDN-HBUOZDOVSA-N
CIDm00061520	CIDs00115294	115294	AHBGXTDRMVNFER-NGAFWABFSA-L
CIDm11531537	CIDs11531537	11531537	FJZZPCZKBUKGGU-UHFFFAOYSA-N
CIDm00003425	CIDs11548377	11548377	OHRURASPPZQGQM-NUBBXEBKSA-N
CIDm00005727	CIDs00005727	11551108	IYBCULKOHOEVED-UHFFFAOYSA-L
CIDm09912092	CIDs11561674	11561674	IMOZEMNVLZVGJZ-QGZVFWFLSA-N
CIDm00002547	CIDs11520320	11564003	AJQVUIHGEOLMDY-CFYYHVESSA-N
CIDm00006436	CIDs11568246	11568246	YNDXUCZADRHECN-QHGIPBEJSA-N
CIDm00107994	CIDs00107994	11568528	YQJDLRLEBDSBCP-ZAFWUOJLSA-N
CIDm00005565	CIDs00005565	11570784	YOGHFSVCNFSXJH-QTQGYALFSA-N
CIDm00160036	CIDs06918193	11571336	BENFPBJLMUIGGD-UHFFFAOYSA-I
CIDm09930048	CIDs11581820	11581820	JMHYCBFEEFHTMK-GDFJUWSTSA-N
CIDm09930048	CIDs11581820	11581821	VBHQKCBVWWUUKN-GWXHSKSZSA-N
CIDm06433082	CIDs06433082	11589146	XHQZMUKGKLVRBX-UHFFFAOYSA-N
CIDm00012597	CIDs11593473	11593473	KLDXJTOLSGUMSJ-IMEMBYPQSA-N
CIDm11593706	CIDs11593706	11593706	PADGNZFOVSZIKZ-UHFFFAOYSA-N
CIDm00003636	CIDs00003636	11602932	HJDWEBXYMIKPAI-UHFFFAOYSA-N
CIDm00002442	CIDs00002442	11604556	ZCMRAIQWNXRYGK-UHFFFAOYSA-N
CIDm00000813	CIDs11607897	11607897	ZLMJMSJWJFRBEC-AKLPVKDBSA-N
CIDm00132970	CIDs00132970	11627262	RYDNJCCIJRGQHT-DCRCZCBYSA-N
CIDm00005199	CIDs11636514	11636514	IPQVTOJGNYVQEO-ZXRHNEGXSA-N
CIDm00000160	CIDs11638954	11638954	PXGPLTODNUVGFL-LLOLQHRQSA-N
CIDm00054313	CIDs11639089	11639089	HIFJCPQKFCZDDL-ITQKTNNISA-N
CIDm09930048	CIDs11639642	11639642	JMHYCBFEEFHTMK-UCNLVHGASA-N
