chemical	alias	source
CIDm00004834	CIDs00043672	DrugBank	DB00319
CIDm00003066	CIDs00010531	DrugBank	DB00320
CIDm00002160	CIDs00002160	DrugBank	DB00321
CIDm00003363	CIDs00005790	DrugBank	DB00322
CIDm04659569	CIDs04659569	DrugBank	DB00323
CIDm00003384	CIDs00009878	DrugBank	DB00324
CIDm11947681	CIDs11947681	DrugBank	DB00325
CIDm00025588	CIDs00061888	DrugBank	DB00326
CIDm00003648	CIDs05284570	DrugBank	DB00327
CIDm00003715	CIDs00003715	DrugBank	DB00328
CIDm00003279	CIDs00014051	DrugBank	DB00330
CIDm00004091	CIDs00004091	DrugBank	DB00331
CIDm00003746	CIDs00657308	DrugBank	DB00332
CIDm00004095	CIDs00004095	DrugBank	DB00333
CIDm00004585	CIDs00004585	DrugBank	DB00334
CIDm00002249	CIDs00002249	DrugBank	DB00335
CIDm00001839	CIDs05447130	DrugBank	DB00336
CIDm03055172	CIDs17753757	DrugBank	DB00337
CIDm00004594	CIDs00004594	DrugBank	DB00338
CIDm00001046	CIDs00001046	DrugBank	DB00339
CIDm00004167	CIDs00004167	DrugBank	DB00340
CIDm00002678	CIDs00002678	DrugBank	DB00341
CIDm00005405	CIDs00005405	DrugBank	DB00342
CIDm00003075	CIDs00039186	DrugBank	DB00343
CIDm00004976	CIDs00004976	DrugBank	DB00344
CIDm00002148	CIDs00002148	DrugBank	DB00345
CIDm00002092	CIDs00002092	DrugBank	DB00346
CIDm00005576	CIDs00005576	DrugBank	DB00347
CIDm00115355	CIDs00115355	DrugBank	DB00348
CIDm00002789	CIDs00002789	DrugBank	DB00349
CIDm00004201	CIDs00004201	DrugBank	DB00350
CIDm00200136	CIDs00200136	DrugBank	DB00351
CIDm02723601	CIDs02723601	DrugBank	DB00352
CIDm00004140	CIDs00008226	DrugBank	DB00353
CIDm00006729	CIDs00006729	DrugBank	DB00354
CIDm00002274	CIDs05742832	DrugBank	DB00355
CIDm00002733	CIDs00002733	DrugBank	DB00356
CIDm00002145	CIDs00002145	DrugBank	DB00357
CIDm00004046	CIDs00004046	DrugBank	DB00358
CIDm00005215	CIDs00005215	DrugBank	DB00359
CIDm00001125	CIDs00001125	DrugBank	DB00360
CIDm00005672	CIDs44424639	DrugBank	DB00361
CIDm00166548	CIDs00166548	DrugBank	DB00362
CIDm00002818	CIDs00002818	DrugBank	DB00363
CIDm16685690	CIDs16685690	DrugBank	DB00364
CIDm00072474	CIDs00072474	DrugBank	DB00365
CIDm00003162	CIDs00003162	DrugBank	DB00366
CIDm00004542	CIDs00013109	DrugBank	DB00367
CIDm00000951	CIDs00439260	DrugBank	DB00368
CIDm00060613	CIDs00060613	DrugBank	DB00369
CIDm00004205	CIDs00004205	DrugBank	DB00370
CIDm00004064	CIDs00004064	DrugBank	DB00371
CIDm00005440	CIDs00005440	DrugBank	DB00372
CIDm00005478	CIDs00005478	DrugBank	DB00373
CIDm00054786	CIDs06918140	DrugBank	DB00374
CIDm00062816	CIDs00062816	DrugBank	DB00375
CIDm00005572	CIDs00005572	DrugBank	DB00376
CIDm00148211	CIDs00148211	DrugBank	DB00377
CIDm00003181	CIDs00009051	DrugBank	DB00378
CIDm00004178	CIDs00004178	DrugBank	DB00379
CIDm00030623	CIDs00071384	DrugBank	DB00380
CIDm00002162	CIDs00002162	DrugBank	DB00381
CIDm00001935	CIDs00001935	DrugBank	DB00382
CIDm00004642	CIDs00004642	DrugBank	DB00383
CIDm00005546	CIDs00005546	DrugBank	DB00384
