chemical	alias	source
CIDm00129148	CIDs46936718	DrugBank	DB03565
CIDm00001102	CIDs00001102	DrugBank	DB03566
CIDm00000899	CIDs00440552	DrugBank	DB03567
CIDm00000264	CIDs00000264	DrugBank	DB03568
CIDm00445037	CIDs71299817	DrugBank	DB03569
CIDm04468930	CIDs04468930	DrugBank	DB03570
CIDm00448407	CIDs00448407	DrugBank	DB03571
CIDm00447341	CIDs00447341	DrugBank	DB03572
CIDm05289258	CIDs05289258	DrugBank	DB03573
CIDm05288201	CIDs46936719	DrugBank	DB03574
CIDm00006468	CIDs00006468	DrugBank	DB03575
CIDm00447013	CIDs17754202	DrugBank	DB03576
CIDm00447336	CIDs00447336	DrugBank	DB03577
CIDm00079088	CIDs00079088	DrugBank	DB03578
CIDm00002931	CIDs00445005	DrugBank	DB03579
CIDm00085186	CIDs03034794	DrugBank	DB03581
CIDm00000920	CIDs17754185	DrugBank	DB03582
CIDm05289321	CIDs05289321	DrugBank	DB03583
CIDm00445564	CIDs46936599	DrugBank	DB03584
CIDm00004641	CIDs00004641	DrugBank	DB03585
CIDm00449219	CIDs46936721	DrugBank	DB03586
CIDm00000880	CIDs00000880	DrugBank	DB03587
CIDm00008333	CIDs00008333	DrugBank	DB03588
CIDm00010132	CIDs00010132	DrugBank	DB03589
CIDm00000865	CIDs00439283	DrugBank	DB03590
CIDm00447523	CIDs46936723	DrugBank	DB03591
CIDm00445462	CIDs00445462	DrugBank	DB03592
CIDm00440190	CIDs46936724	DrugBank	DB03593
CIDm00009257	CIDs00009257	DrugBank	DB03594
CIDm05326691	CIDs22556917	DrugBank	DB03595
CIDm03350247	CIDs05496599	DrugBank	DB03596
CIDm00447108	CIDs46936725	DrugBank	DB03597
CIDm04369171	CIDs04369171	DrugBank	DB03598
CIDm00445564	CIDs46936599	DrugBank	DB03599
CIDm00002969	CIDs00002969	DrugBank	DB03600
CIDm00001889	CIDs00114829	DrugBank	DB03601
CIDm00005137	CIDs46936726	DrugBank	DB03602
CIDm00000607	CIDs11988274	DrugBank	DB03603
CIDm00005803	CIDs00005803	DrugBank	DB03604
CIDm00447368	CIDs17753763	DrugBank	DB03605
CIDm00005092	CIDs00448055	DrugBank	DB03606
CIDm03369969	CIDs17753903	DrugBank	DB03607
CIDm00002354	CIDs00002354	DrugBank	DB03608
CIDm00165138	CIDs06541399	DrugBank	DB03609
CIDm00067874	CIDs00067874	DrugBank	DB03610
CIDm04472505	CIDs46936727	DrugBank	DB03611
CIDm00000521	CIDs46936728	DrugBank	DB03612
CIDm00446968	CIDs46936729	DrugBank	DB03613
CIDm00004137	CIDs46936730	DrugBank	DB03614
CIDm00005066	CIDs46936732	DrugBank	DB03615
CIDm05288658	CIDs46936733	DrugBank	DB03616
CIDm00449600	CIDs46936734	DrugBank	DB03617
CIDm00000245	CIDs44611450	DrugBank	DB03618
CIDm00002987	CIDs07000965	DrugBank	DB03619
CIDm00000443	CIDs00222865	DrugBank	DB03620
CIDm04470172	CIDs46936735	DrugBank	DB03621
CIDm00446505	CIDs00446505	DrugBank	DB03622
CIDm05326727	CIDs05326727	DrugBank	DB03623
CIDm00444640	CIDs00444640	DrugBank	DB03624
CIDm00001773	CIDs46936736	DrugBank	DB03625
CIDm04469805	CIDs04469805	DrugBank	DB03626
CIDm00009238	CIDs00009238	DrugBank	DB03627
CIDm00447534	CIDs00447534	DrugBank	DB03628
CIDm03253681	CIDs03253681	DrugBank	DB03629
CIDm00444808	CIDs00444808	DrugBank	DB03630
CIDm03387238	CIDs17754209	DrugBank	DB03631
CIDm00449124	CIDs46936737	DrugBank	DB03632
CIDm00003855	CIDs00446876	DrugBank	DB03633
CIDm04474581	CIDs46936738	DrugBank	DB03634
CIDm00011668	CIDs00011668	DrugBank	DB03635
CIDm00069020	CIDs00069020	DrugBank	DB03636
CIDm00448503	CIDs00448503	DrugBank	DB03637
CIDm00447657	CIDs46936739	DrugBank	DB03638
CIDm05288371	CIDs05288371	DrugBank	DB03639
CIDm00005425	CIDs00014463	DrugBank	DB03640
CIDm00449098	CIDs46936740	DrugBank	DB03641
CIDm04469580	CIDs46936741	DrugBank	DB03642
CIDm00445839	CIDs05353306	DrugBank	DB03643
CIDm00000086	CIDs00000086	DrugBank	DB03644
CIDm00445375	CIDs00445375	DrugBank	DB03645
CIDm00417493	CIDs46936742	DrugBank	DB03646
CIDm00503535	CIDs00503535	DrugBank	DB03647
CIDm05496887	CIDs46936743	DrugBank	DB03648
CIDm00405389	CIDs00405389	DrugBank	DB03649
CIDm00611002	CIDs00611002	DrugBank	DB03650
CIDm00006954	CIDs00006954	DrugBank	DB03651
CIDm00000610	CIDs00441476	DrugBank	DB03652
CIDm00448672	CIDs00448672	DrugBank	DB03653
CIDm03322989	CIDs17754128	DrugBank	DB03654
CIDm00151164	CIDs46936744	DrugBank	DB03655
CIDm23644210	CIDs46936745	DrugBank	DB03656
CIDm00445722	CIDs46936746	DrugBank	DB03657
CIDm04473611	CIDs46936747	DrugBank	DB03658
CIDm00008007	CIDs00008007	DrugBank	DB03659
CIDm00134497	CIDs00134497	DrugBank	DB03660
CIDm00025701	CIDs00072886	DrugBank	DB03661
CIDm00444861	CIDs00444861	DrugBank	DB03662
CIDm00445940	CIDs00445940	DrugBank	DB03663
CIDm00448894	CIDs46936748	DrugBank	DB03664
CIDm00444410	CIDs46936749	DrugBank	DB03665
CIDm00001600	CIDs46936750	DrugBank	DB03666
CIDm00445302	CIDs00445302	DrugBank	DB03667
CIDm00001350	CIDs46936751	DrugBank	DB03668
CIDm00082068	CIDs00082068	DrugBank	DB03669
CIDm00444766	CIDs00444766	DrugBank	DB03670
CIDm00015478	CIDs46936752	DrugBank	DB03671
CIDm00001933	CIDs00001933	DrugBank	DB03672
CIDm00091444	CIDs00146719	DrugBank	DB03673
CIDm00006859	CIDs00006859	DrugBank	DB03674
CIDm00000008	CIDs46936753	DrugBank	DB03675
CIDm03509539	CIDs46936754	DrugBank	DB03676
CIDm00004359	CIDs00004359	DrugBank	DB03677
CIDm03392037	CIDs05496989	DrugBank	DB03678
CIDm03382782	CIDs17754204	DrugBank	DB03679
CIDm00000044	CIDs00000044	DrugBank	DB03680
CIDm00003022	CIDs00003022	DrugBank	DB03682
CIDm03364667	CIDs05289415	DrugBank	DB03683
CIDm00007870	CIDs05288834	DrugBank	DB03684
CIDm00001172	CIDs06101904	DrugBank	DB03685
CIDm00005133	CIDs46936755	DrugBank	DB03686
CIDm00000121	CIDs46936756	DrugBank	DB03687
CIDm00068152	CIDs00068152	DrugBank	DB03688
CIDm00007843	CIDs00007843	DrugBank	DB03689
CIDm00094287	CIDs06538420	DrugBank	DB03690
CIDm05289258	CIDs05289294	DrugBank	DB03691
CIDm03350114	CIDs17754154	DrugBank	DB03692
CIDm00129236	CIDs00129236	DrugBank	DB03693
CIDm00676454	CIDs00676454	DrugBank	DB03694
CIDm00054369	CIDs00054369	DrugBank	DB03695
CIDm00000856	CIDs46936757	DrugBank	DB03696
CIDm00001758	CIDs00001758	DrugBank	DB03697
CIDm05288793	CIDs46936758	DrugBank	DB03698
CIDm00001111	CIDs46936759	DrugBank	DB03699
CIDm00000205	CIDs00090624	DrugBank	DB03700
CIDm00038003	CIDs05361022	DrugBank	DB03701
CIDm04631417	CIDs46936760	DrugBank	DB03702
CIDm00007966	CIDs00007966	DrugBank	DB03703
CIDm00079034	CIDs00079034	DrugBank	DB03704
CIDm00448810	CIDs00448810	DrugBank	DB03705
CIDm00444758	CIDs46936761	DrugBank	DB03706
CIDm00347590	CIDs00347590	DrugBank	DB03707
CIDm00000228	CIDs46936762	DrugBank	DB03708
CIDm00008761	CIDs00008761	DrugBank	DB03709
CIDm05289554	CIDs46936763	DrugBank	DB03710
CIDm00129891	CIDs00129891	DrugBank	DB03711
CIDm00447524	CIDs46936765	DrugBank	DB03712
CIDm00000832	CIDs00152441	DrugBank	DB03713
CIDm00444695	CIDs00444695	DrugBank	DB03714
CIDm00012391	CIDs00012391	DrugBank	DB03715
CIDm23644347	CIDs46936766	DrugBank	DB03716
CIDm00446394	CIDs46936767	DrugBank	DB03717
CIDm00001856	CIDs46936768	DrugBank	DB03718
CIDm00104795	CIDs06604901	DrugBank	DB03719
CIDm03082167	CIDs06449989	DrugBank	DB03720
CIDm00000906	CIDs36690637	DrugBank	DB03721
CIDm00148140	CIDs00148140	DrugBank	DB03722
CIDm00000686	CIDs46936769	DrugBank	DB03723
CIDm00445279	CIDs46936770	DrugBank	DB03724
CIDm00004800	CIDs46936771	DrugBank	DB03725
CIDm00350833	CIDs05748376	DrugBank	DB03726
CIDm00440776	CIDs00440776	DrugBank	DB03727
CIDm00006318	CIDs00006318	DrugBank	DB03728
CIDm00162636	CIDs00162636	DrugBank	DB03729
CIDm00447936	CIDs00447936	DrugBank	DB03730
CIDm04474773	CIDs46936772	DrugBank	DB03732
CIDm00000011	CIDs00000011	DrugBank	DB03733
CIDm00445310	CIDs46936773	DrugBank	DB03734
CIDm00097184	CIDs46936775	DrugBank	DB03735
CIDm04627783	CIDs46936776	DrugBank	DB03736
CIDm05288222	CIDs05288222	DrugBank	DB03737
CIDm00447227	CIDs46936777	DrugBank	DB03738
CIDm02826727	CIDs46936778	DrugBank	DB03739
CIDm00000899	CIDs00440552	DrugBank	DB03740
CIDm00008314	CIDs06950478	DrugBank	DB03741
CIDm00448577	CIDs46936779	DrugBank	DB03742
CIDm00001336	CIDs46936780	DrugBank	DB03743
CIDm00002873	CIDs00445459	DrugBank	DB03744
CIDm00002219	CIDs00448027	DrugBank	DB03745
CIDm04369345	CIDs04369345	DrugBank	DB03746
CIDm00004340	CIDs46936781	DrugBank	DB03747
CIDm00447562	CIDs00447562	DrugBank	DB03748
CIDm05326935	CIDs46936782	DrugBank	DB03749
CIDm00010430	CIDs00010430	DrugBank	DB03750
CIDm00000684	CIDs46936783	DrugBank	DB03751
CIDm00447834	CIDs00447834	DrugBank	DB03752
CIDm00004127	CIDs00446134	DrugBank	DB03753
CIDm00006503	CIDs00006503	DrugBank	DB03754
CIDm00446443	CIDs46936784	DrugBank	DB03755
CIDm00003144	CIDs05353594	DrugBank	DB03756
CIDm00004385	CIDs46936785	DrugBank	DB03757
CIDm05289274	CIDs46936786	DrugBank	DB03758
CIDm00003140	CIDs00003140	DrugBank	DB03759
CIDm00000421	CIDs09834298	DrugBank	DB03760
CIDm00001816	CIDs46936787	DrugBank	DB03761
CIDm00448572	CIDs00448572	DrugBank	DB03762
CIDm00445537	CIDs46936788	DrugBank	DB03763
CIDm00446140	CIDs00446140	DrugBank	DB03764
CIDm00101544	CIDs46936789	DrugBank	DB03765
CIDm00001032	CIDs00001032	DrugBank	DB03766
CIDm03481669	CIDs05287799	DrugBank	DB03767
CIDm00466960	CIDs00466960	DrugBank	DB03768
CIDm00002933	CIDs12308870	DrugBank	DB03769
CIDm00080668	CIDs00080668	DrugBank	DB03770
CIDm00447559	CIDs00447559	DrugBank	DB03771
CIDm00448294	CIDs00448294	DrugBank	DB03772
CIDm00000840	CIDs06713579	DrugBank	DB03773
CIDm00000844	CIDs00193305	DrugBank	DB03774
CIDm00000643	CIDs00445027	DrugBank	DB03775
CIDm00000855	CIDs00439231	DrugBank	DB03776
CIDm00002396	CIDs00002396	DrugBank	DB03777
CIDm00003687	CIDs00512326	DrugBank	DB03778
CIDm00000577	CIDs46936790	DrugBank	DB03779
CIDm00242831	CIDs00242831	DrugBank	DB03780
CIDm00038687	CIDs00448978	DrugBank	DB03781
CIDm00004286	CIDs00004286	DrugBank	DB03782
CIDm00004754	CIDs00004754	DrugBank	DB03783
CIDm00001930	CIDs05353370	DrugBank	DB03784
CIDm00064727	CIDs00064727	DrugBank	DB03785
CIDm00134018	CIDs00134018	DrugBank	DB03786
CIDm00002931	CIDs00445005	DrugBank	DB03787
CIDm00448011	CIDs00448011	DrugBank	DB03788
CIDm00015617	CIDs00444800	DrugBank	DB03789
CIDm00069961	CIDs06997233	DrugBank	DB03790
CIDm23644413	CIDs46936791	DrugBank	DB03791
CIDm00013611	CIDs00013611	DrugBank	DB03792
CIDm00000242	CIDs00000242	DrugBank	DB03793
CIDm00087122	CIDs00087122	DrugBank	DB03794
CIDm00000038	CIDs00000038	DrugBank	DB03795
CIDm00000985	CIDs00000985	DrugBank	DB03796
CIDm00445301	CIDs06323440	DrugBank	DB03797
CIDm00000624	CIDs06328614	DrugBank	DB03798
CIDm00165196	CIDs00165196	DrugBank	DB03799
CIDm00000688	CIDs00065063	DrugBank	DB03800
CIDm04636209	CIDs17754054	DrugBank	DB03801
CIDm05287617	CIDs46936793	DrugBank	DB03802
CIDm00445309	CIDs46936794	DrugBank	DB03803
CIDm00126105	CIDs00446725	DrugBank	DB03804
CIDm00001550	CIDs17753809	DrugBank	DB03805
CIDm00000051	CIDs00000051	DrugBank	DB03806
CIDm00656968	CIDs00656968	DrugBank	DB03807
CIDm00065130	CIDs00065130	DrugBank	DB03808
CIDm05289228	CIDs05289228	DrugBank	DB03809
CIDm00237657	CIDs06604760	DrugBank	DB03810
CIDm00000775	CIDs23636559	DrugBank	DB03811
CIDm00657023	CIDs00657024	DrugBank	DB03812
CIDm03082094	CIDs05288022	DrugBank	DB03813
CIDm00078165	CIDs00078165	DrugBank	DB03814
CIDm00003429	CIDs25032396	DrugBank	DB03815
CIDm00360816	CIDs00447827	DrugBank	DB03816
CIDm00000470	CIDs00134490	DrugBank	DB03817
CIDm00445503	CIDs00445503	DrugBank	DB03818
CIDm00066644	CIDs00066644	DrugBank	DB03819
CIDm00447944	CIDs46936796	DrugBank	DB03820
CIDm09859052	CIDs46936798	DrugBank	DB03821
CIDm00074190	CIDs00074190	DrugBank	DB03822
CIDm00001249	CIDs09882981	DrugBank	DB03823
CIDm05288606	CIDs05288606	DrugBank	DB03824
CIDm00013806	CIDs00013806	DrugBank	DB03825
CIDm00076725	CIDs00076725	DrugBank	DB03826
CIDm00447775	CIDs06323192	DrugBank	DB03827
CIDm05287465	CIDs05287465	DrugBank	DB03828
CIDm00001042	CIDs46936800	DrugBank	DB03829
CIDm00656948	CIDs00656948	DrugBank	DB03830
CIDm05168638	CIDs46936801	DrugBank	DB03831
CIDm00123701	CIDs00439824	DrugBank	DB03832
CIDm00449137	CIDs00449137	DrugBank	DB03833
CIDm46936678	CIDs46936678	DrugBank	DB03834
CIDm04632553	CIDs46936802	DrugBank	DB03835
CIDm00007950	CIDs00007950	DrugBank	DB03836
CIDm03505067	CIDs23648296	DrugBank	DB03837
CIDm00002969	CIDs00002969	DrugBank	DB03838
CIDm00001153	CIDs00006057	DrugBank	DB03839
CIDm00446590	CIDs00446590	DrugBank	DB03840
CIDm00449035	CIDs00449035	DrugBank	DB03841
CIDm17753774	CIDs17753774	DrugBank	DB03842
CIDm00000712	CIDs00000712	DrugBank	DB03843
CIDm00004288	CIDs00004288	DrugBank	DB03844
CIDm05289614	CIDs46936803	DrugBank	DB03845
CIDm54697673	CIDs54715132	DrugBank	DB03846
CIDm00040772	CIDs00104625	DrugBank	DB03847
CIDm00012057	CIDs00012057	DrugBank	DB03848
CIDm00151170	CIDs00151170	DrugBank	DB03849
CIDm05288653	CIDs46936806	DrugBank	DB03850
CIDm00448769	CIDs00448769	DrugBank	DB03851
CIDm00002758	CIDs00002758	DrugBank	DB03852
CIDm06400893	CIDs06400893	DrugBank	DB03853
CIDm00000273	CIDs00000273	DrugBank	DB03854
CIDm00448023	CIDs46936807	DrugBank	DB03855
CIDm00003009	CIDs06992038	DrugBank	DB03856
CIDm00445237	CIDs00445999	DrugBank	DB03857
CIDm04627978	CIDs17753922	DrugBank	DB03858
CIDm00175998	CIDs00444809	DrugBank	DB03859
CIDm00003684	CIDs46936808	DrugBank	DB03860
CIDm00446429	CIDs46936809	DrugBank	DB03861
CIDm00449101	CIDs00449101	DrugBank	DB03862
CIDm00444792	CIDs46936810	DrugBank	DB03863
CIDm00007291	CIDs00447638	DrugBank	DB03864
CIDm00445843	CIDs00445843	DrugBank	DB03865
CIDm00004958	CIDs05280883	DrugBank	DB03866
CIDm00065124	CIDs00065124	DrugBank	DB03867
CIDm00000630	CIDs46936811	DrugBank	DB03868
CIDm00445736	CIDs46936812	DrugBank	DB03869
CIDm00448208	CIDs46936813	DrugBank	DB03870
CIDm00444551	CIDs00444551	DrugBank	DB03871
CIDm00418589	CIDs46936814	DrugBank	DB03872
CIDm04470978	CIDs04470978	DrugBank	DB03873
CIDm00135780	CIDs00448904	DrugBank	DB03874
CIDm23644225	CIDs23644225	DrugBank	DB03875
CIDm00005438	CIDs00005438	DrugBank	DB03876
CIDm00001291	CIDs46936815	DrugBank	DB03877
CIDm00004327	CIDs00004327	DrugBank	DB03878
CIDm00084695	CIDs46936603	DrugBank	DB03879
CIDm00002299	CIDs05362422	DrugBank	DB03880
CIDm00447992	CIDs46936816	DrugBank	DB03881
CIDm00011301	CIDs00242332	DrugBank	DB03882
CIDm00185679	CIDs46936818	DrugBank	DB03883
CIDm00000997	CIDs00000997	DrugBank	DB03884
CIDm00449471	CIDs46936819	DrugBank	DB03885
CIDm00002380	CIDs00444475	DrugBank	DB03886
CIDm00440315	CIDs46936820	DrugBank	DB03887
CIDm00445989	CIDs00445989	DrugBank	DB03888
CIDm04632024	CIDs46936821	DrugBank	DB03889
CIDm04470183	CIDs06323197	DrugBank	DB03890
CIDm00001339	CIDs46936822	DrugBank	DB03891
CIDm00126494	CIDs00126494	DrugBank	DB03892
CIDm03081386	CIDs05748234	DrugBank	DB03893
CIDm00122316	CIDs05289310	DrugBank	DB03894
CIDm00011294	CIDs00011294	DrugBank	DB03895
CIDm00000983	CIDs00000983	DrugBank	DB03896
CIDm00010394	CIDs00010394	DrugBank	DB03897
CIDm04626830	CIDs11401421	DrugBank	DB03898
CIDm05289227	CIDs05289227	DrugBank	DB03899
CIDm00006386	CIDs00006386	DrugBank	DB03900
CIDm00130336	CIDs21085979	DrugBank	DB03901
CIDm00000971	CIDs00000971	DrugBank	DB03902
CIDm05289288	CIDs05289288	DrugBank	DB03903
CIDm00001176	CIDs00001176	DrugBank	DB03904
CIDm00005313	CIDs46936824	DrugBank	DB03905
CIDm17753777	CIDs17753777	DrugBank	DB03906
CIDm00445303	CIDs46936825	DrugBank	DB03908
CIDm00004799	CIDs46936826	DrugBank	DB03909
CIDm00001331	CIDs00001331	DrugBank	DB03910
CIDm00000229	CIDs00439509	DrugBank	DB03911
CIDm00000987	CIDs00115254	DrugBank	DB03912
CIDm00000969	CIDs46936827	DrugBank	DB03913
CIDm17753919	CIDs46936828	DrugBank	DB03914
CIDm00000219	CIDs00440033	DrugBank	DB03915
CIDm00656967	CIDs00656967	DrugBank	DB03916
CIDm00004361	CIDs05288173	DrugBank	DB03917
CIDm00001125	CIDs05702551	DrugBank	DB03918
CIDm00448166	CIDs00448166	DrugBank	DB03919
CIDm00134856	CIDs00134856	DrugBank	DB03920
CIDm00447966	CIDs00447966	DrugBank	DB03921
CIDm00001744	CIDs05288209	DrugBank	DB03922
CIDm00194090	CIDs44229078	DrugBank	DB03923
CIDm00085466	CIDs00085466	DrugBank	DB03924
CIDm00004596	CIDs46936829	DrugBank	DB03925
CIDm00011301	CIDs00446934	DrugBank	DB03926
CIDm00446307	CIDs17754144	DrugBank	DB03927
CIDm00446195	CIDs00446195	DrugBank	DB03928
CIDm00000617	CIDs00071077	DrugBank	DB03929
CIDm03471145	CIDs46936830	DrugBank	DB03930
CIDm00444841	CIDs46936831	DrugBank	DB03931
CIDm00449169	CIDs46936832	DrugBank	DB03932
CIDm05281919	CIDs46936833	DrugBank	DB03933
CIDm00027287	CIDs00027287	DrugBank	DB03934
CIDm04635109	CIDs46936835	DrugBank	DB03935
CIDm00445796	CIDs00447843	DrugBank	DB03936
CIDm00000697	CIDs46936836	DrugBank	DB03937
CIDm00160139	CIDs46936837	DrugBank	DB03938
CIDm00446637	CIDs04369266	DrugBank	DB03939
CIDm00000974	CIDs00000974	DrugBank	DB03940
CIDm00016143	CIDs00016143	DrugBank	DB03941
CIDm00444189	CIDs46936838	DrugBank	DB03942
CIDm00000236	CIDs00439600	DrugBank	DB03943
CIDm00187079	CIDs00446286	DrugBank	DB03944
CIDm00001014	CIDs00001014	DrugBank	DB03945
CIDm00000072	CIDs00000072	DrugBank	DB03946
CIDm00000619	CIDs00644111	DrugBank	DB03947
CIDm00188321	CIDs46936839	DrugBank	DB03948
CIDm03378330	CIDs46936840	DrugBank	DB03949
CIDm00446276	CIDs00446277	DrugBank	DB03950
CIDm00000898	CIDs46936841	DrugBank	DB03951
CIDm00447722	CIDs46936531	DrugBank	DB03952
CIDm02733514	CIDs02733514	DrugBank	DB03953
CIDm00001303	CIDs00445144	DrugBank	DB03954
CIDm00001374	CIDs44387838	DrugBank	DB03955
CIDm00000806	CIDs10342059	DrugBank	DB03956
CIDm00447945	CIDs00447945	DrugBank	DB03957
CIDm00121958	CIDs06335949	DrugBank	DB03958
CIDm00440118	CIDs46936842	DrugBank	DB03959
CIDm21158782	CIDs46936843	DrugBank	DB03960
CIDm00000068	CIDs46936844	DrugBank	DB03961
CIDm00447836	CIDs06323437	DrugBank	DB03962
CIDm00322466	CIDs46936846	DrugBank	DB03963
CIDm00001740	CIDs46936847	DrugBank	DB03964
CIDm00000840	CIDs06713579	DrugBank	DB03965
CIDm54677920	CIDs54715130	DrugBank	DB03966
CIDm00008778	CIDs00008778	DrugBank	DB03967
CIDm00444570	CIDs00444570	DrugBank	DB03968
CIDm00002010	CIDs06101767	DrugBank	DB03969
CIDm00447998	CIDs00447998	DrugBank	DB03970
CIDm00449167	CIDs46936851	DrugBank	DB03971
CIDm05289414	CIDs46936852	DrugBank	DB03972
CIDm00657023	CIDs00657024	DrugBank	DB03973
CIDm00003625	CIDs00009085	DrugBank	DB03974
CIDm00008747	CIDs00008747	DrugBank	DB03975
CIDm00015391	CIDs00015391	DrugBank	DB03976
CIDm00115146	CIDs00115146	DrugBank	DB03977
CIDm00445993	CIDs00445993	DrugBank	DB03978
CIDm17753948	CIDs46936853	DrugBank	DB03979
CIDm00005172	CIDs00005172	DrugBank	DB03980
CIDm03387244	CIDs46936854	DrugBank	DB03981
CIDm00447411	CIDs00447411	DrugBank	DB03982
CIDm46936855	CIDs46936855	DrugBank	DB03983
CIDm03505070	CIDs05287870	DrugBank	DB03984
CIDm00657066	CIDs00657068	DrugBank	DB03985
CIDm23644206	CIDs46936856	DrugBank	DB03986
CIDm00447022	CIDs00447022	DrugBank	DB03987
CIDm00439605	CIDs00439605	DrugBank	DB03988
CIDm00000206	CIDs06992084	DrugBank	DB03989
CIDm17754061	CIDs46936857	DrugBank	DB03990
CIDm00001553	CIDs13728878	DrugBank	DB03991
CIDm14233316	CIDs14233317	DrugBank	DB03992
CIDm00012587	CIDs00012587	DrugBank	DB03993
CIDm00000700	CIDs00000700	DrugBank	DB03994
CIDm00024238	CIDs46936858	DrugBank	DB03995
CIDm05288685	CIDs05288685	DrugBank	DB03996
CIDm00000845	CIDs06326760	DrugBank	DB03997
CIDm17753918	CIDs17753918	DrugBank	DB03998
CIDm00076839	CIDs00076839	DrugBank	DB03999
CIDm00167842	CIDs00167842	DrugBank	DB04000
CIDm00444763	CIDs00444763	DrugBank	DB04001
CIDm00001759	CIDs00001759	DrugBank	DB04002
CIDm00446300	CIDs46936859	DrugBank	DB04003
CIDm00448017	CIDs00448017	DrugBank	DB04004
CIDm00001181	CIDs05746425	DrugBank	DB04005
CIDm05289179	CIDs05289179	DrugBank	DB04006
CIDm00002429	CIDs00002429	DrugBank	DB04007
CIDm00449220	CIDs00449220	DrugBank	DB04008
CIDm11963788	CIDs11963788	DrugBank	DB04009
CIDm00001511	CIDs00001511	DrugBank	DB04010
CIDm00448202	CIDs00448202	DrugBank	DB04011
CIDm00446411	CIDs00446411	DrugBank	DB04012
CIDm00444456	CIDs46936861	DrugBank	DB04013
CIDm05005498	CIDs05005498	DrugBank	DB04014
CIDm06330540	CIDs06398483	DrugBank	DB04015
CIDm00656932	CIDs00656932	DrugBank	DB04016
CIDm00004380	CIDs00004380	DrugBank	DB04017
CIDm00445319	CIDs00445319	DrugBank	DB04018
CIDm09957008	CIDs09957008	DrugBank	DB04020
CIDm04478471	CIDs05288799	DrugBank	DB04021
CIDm00000766	CIDs46936862	DrugBank	DB04022
CIDm00439355	CIDs46936863	DrugBank	DB04023
CIDm00448726	CIDs46936864	DrugBank	DB04024
CIDm00000096	CIDs00000096	DrugBank	DB04025
CIDm00008424	CIDs00200599	DrugBank	DB04026
CIDm00000232	CIDs00006322	DrugBank	DB04027
CIDm00160540	CIDs46936431	DrugBank	DB04028
CIDm00194097	CIDs00445694	DrugBank	DB04029
CIDm04470577	CIDs04470577	DrugBank	DB04030
CIDm03364673	CIDs17754186	DrugBank	DB04031
CIDm00448333	CIDs00448333	DrugBank	DB04032
CIDm00333210	CIDs05388928	DrugBank	DB04033
CIDm00000850	CIDs00439190	DrugBank	DB04034
CIDm03518584	CIDs05849540	DrugBank	DB04035
CIDm00174251	CIDs46936865	DrugBank	DB04036
CIDm00447980	CIDs00447980	DrugBank	DB04037
CIDm00005996	CIDs46936866	DrugBank	DB04038
CIDm04476947	CIDs04476947	DrugBank	DB04039
CIDm05287447	CIDs46936867	DrugBank	DB04040
CIDm05192839	CIDs46936868	DrugBank	DB04041
CIDm00002070	CIDs46936870	DrugBank	DB04042
CIDm06323264	CIDs46936871	DrugBank	DB04043
CIDm00657140	CIDs00657140	DrugBank	DB04044
CIDm00000613	CIDs46936873	DrugBank	DB04045
CIDm00002108	CIDs00094214	DrugBank	DB04046
CIDm00151434	CIDs00151434	DrugBank	DB04047
CIDm00426409	CIDs01535935	DrugBank	DB04048
CIDm05326781	CIDs05326781	DrugBank	DB04049
CIDm00079084	CIDs00079084	DrugBank	DB04050
CIDm00016757	CIDs00016757	DrugBank	DB04051
CIDm00007249	CIDs00007249	DrugBank	DB04052
CIDm00022497	CIDs00022497	DrugBank	DB04053
CIDm00448974	CIDs00448974	DrugBank	DB04054
CIDm00001478	CIDs00001478	DrugBank	DB04055
CIDm00000227	CIDs00000227	DrugBank	DB04056
CIDm06323417	CIDs46936874	DrugBank	DB04057
CIDm00446054	CIDs00446054	DrugBank	DB04058
CIDm00448610	CIDs00448610	DrugBank	DB04059
CIDm05179951	CIDs46936875	DrugBank	DB04060
CIDm00167556	CIDs11310031	DrugBank	DB04061
CIDm00000840	CIDs00439650	DrugBank	DB04062
CIDm00095515	CIDs00446181	DrugBank	DB04063
CIDm05289026	CIDs05289026	DrugBank	DB04064
CIDm05287890	CIDs05287890	DrugBank	DB04065
CIDm00000322	CIDs00637542	DrugBank	DB04066
CIDm00446969	CIDs46936876	DrugBank	DB04067
CIDm00001459	CIDs46936877	DrugBank	DB04068
CIDm05288116	CIDs05288116	DrugBank	DB04069
CIDm00121904	CIDs00121904	DrugBank	DB04070
CIDm00444170	CIDs46936878	DrugBank	DB04071
CIDm00000513	CIDs46936880	DrugBank	DB04072
CIDm00447976	CIDs46936618	DrugBank	DB04073
CIDm00000049	CIDs00000049	DrugBank	DB04074
CIDm00000185	CIDs00070914	DrugBank	DB04075
CIDm00000790	CIDs00000790	DrugBank	DB04076
CIDm00000753	CIDs00000753	DrugBank	DB04077
CIDm00010870	CIDs00010870	DrugBank	DB04078
CIDm00124604	CIDs07156967	DrugBank	DB04079
CIDm00075791	CIDs00075791	DrugBank	DB04080
CIDm00001280	CIDs46936881	DrugBank	DB04081
CIDm04629337	CIDs04629337	DrugBank	DB04082
CIDm04476950	CIDs46936882	DrugBank	DB04083
CIDm00315411	CIDs05288324	DrugBank	DB04084
CIDm00084836	CIDs00084836	DrugBank	DB04085
CIDm00445981	CIDs46936883	DrugBank	DB04086
CIDm04634235	CIDs46936884	DrugBank	DB04087
