rxnorm_cui 	 drugbank_ids with | as seperator  
6581	DB09104
37801	DB00857
26225	DB00904
28908	DB09212
266604	DB00765
283809	DB00287
8886	DB00344
6678	DB00939
10450	DB00730
1603350	DB06603
5095	DB01159
85762	DB00503
34345	DB00733
20489	DB01416
21212	DB01211
8704	DB00433
4256	DB00036
26744	DB05276
4388	DB05254
17300	DB00346
21247	DB09004
4327	DB08980
753346	DB01266
8246	DB11133
33272	DB01579
1546356	DB06695
1546354	DB09110
1538097	DB09033
6513	DB00256
1293254	DB04897
5967	DB08946
1424884	DB09082
358255	DB00673
8987	DB00339
3554	DB00822
7023	DB09282
480	DB00802
139778	DB01079
1298944	DB06366
83515	DB00876
1437	DB04115
35827	DB00465
714438	DB06589
22293	DB04816
5653	DB00249
8348	DB01621
42347	DB01156
7984	DB00417
2555	DB00515
52175	DB00678
33290	DB03255
877015	DB11596
7393	DB00627
3445	DB06782
6757	DB00532
4459	DB04841
9991	DB06145
29155	DB09481
1310520	DB08880
1147320	DB08870
42543	DB00128
4458	DB00663
83929	DB00054
32639	DB11610
10390	DB04844
3143	DB01708
75635	DB00063
228790	DB01126
262150	DB01592
29998	DB08888
3118	DB04840
27169	DB01097
301739	DB00106
20498	DB04846
44281	DB00185
10493	DB00599
1266	DB01061
83171	DB00369
28627	DB01106
8785	DB00647
262100	DB04834
22299	DB00080
11473	DB00282
343048	DB00374
1358207	DB09138
1534763	DB09043
35825	DB06785
4890	DB00143
3478	DB00917
6782	DB01357
42331	DB00929
1312397	DB08896
73137	DB00775
1547220	DB09039
89808	DB01494
12062	DB01436
194337	DB02546
10169	DB00634
816249	DB09111
31476	DB00735
275635	DB00967
8356	DB00554
302285	DB00872
152610	DB09261
35619	DB01220
1112990	DB04953
61148	DB00052
235496	DB09449
33739	DB09286
49276	DB00590
1148495	DB08865
5489	DB00956
298869	DB00700
11002	DB03904
227518	DB00066
618970	DB09015
38404	DB00273
3002	DB00531
140502	DB09103
10454	DB00152
19860	DB00241
57048	DB02638
22701	DB09357
39954	DB09322
11198	DB00570
7804	DB00497
18751	DB01408
4099	DB00286
4501	DB00690
8814	DB01240
6536	DB00123
6673	DB00657
60842	DB00234
27729	DB01249
25255	DB00983
3100	DB00970
69120	DB01409
7405	DB02701
88014	DB00953
283548	DB09278
4492	DB00544
2625	DB01147
87866	DB00407
11115	DB00161
10996	DB00791
33283	DB01619
9627	DB00021
23678	DB00858
6923	DB01011
1825	DB06719
39841	DB06694
1597371	DB09296
134748	DB01367
704	DB00321
32894	DB00617
21116	DB03852
50675	DB00536
14851	DB01080
6099	DB01172
37319	DB06820
1819	DB00921
1100699	DB08882
10800	DB00831
236778	DB00209
657797	DB06287
620216	DB04835
15226	DB01213
1597582	DB09074
68099	DB00426
474128	DB01265
281	DB00787
14584	DB00294
596554	DB04876
1440856	DB02659
6448	DB01356
7715	DB01173
8130	DB00498
22656	DB00304
4678	DB01004
10865	DB03754
68442	DB00099
10256	DB04786
233272	DB00307
1114195	DB06228
191831	DB00065
8700	DB01035
21102	DB01340
865	DB08799
711942	DB06210
10803	DB00432
17933	DB00913
6984	DB00350
55018	DB09414
35255	DB00604
2418	DB00169
37418	DB00669
5340	DB00117
695	DB01424
4582	DB09256
2409	DB00310
114289	DB00224
8591	DB00761
9002	DB00147
1025342	DB11256
1309342	DB00071
31435	DB00385
1426874	DB08824
1292	DB00181
2670	DB00318
25138	DB00693
9524	DB00795
738	DB01427
36387	DB11365
69634	DB00020
4179	DB00773
354770	DB00108
35465	DB11597
1597258	DB09052
53694	DB04743
32592	DB00526
237057	DB00001
4333	DB01288
9009	DB06691
27340	DB01189
2116	DB00521
4500	DB00846
7417	DB01115
1091	DB00125
1998	DB01197
1307404	DB08890
10180	DB01015
2404	DB00672
236381	DB09113
214549	DB09381
9894	DB09112
24272	DB08990
6995	DB06810
1828	DB01008
321064	DB00275
75917	DB00060
5531	DB09106
37578	DB09459
6606	DB00772
1191	DB00945
10255	DB00870
115238	DB00102
6574	DB01378
135056	DB00528
1356	DB11600
68091	DB00757
3628	DB00988
22892	DB01495
39879	DB09227
1535457	DB09063
1102270	DB08864
8163	DB00388
41127	DB01095
237099	DB00163
1005921	DB08867
140108	DB00520
8640	DB00635
75960	DB09259
480167	DB01259
1599276	DB11104
2653	DB00907
22968	DB09123
2188	DB00229
270	DB00919
6398	DB01627
42322	DB04576
1388	DB00431
2540	DB01597
618365	DB09318
8462	DB09094
1999	DB00411
22396	DB11921
4136	DB00754
376	DB01285
10828	DB01116
105694	DB00016
1193326	DB08877
1102261	DB05521
29648	DB00902
8410	DB00009
784	DB01536
7960	DB00487
19790	DB09017
134527	DB00220
3247	DB01151
19831	DB01222
1483575	DB04335
21254	DB04837
729596	DB09107
1056	DB06692
1589	DB00810
50749	DB01218
4337	DB00813
4319	DB00093
89959	DB00144
3541	DB00280
5981	DB04818
3995	DB00445
10167	DB09324
232158	DB00533
25806	DB13142
28439	DB00555
24441	DB08986
36453	DB01236
2105	DB00262
51428	DB01306
314784	DB04824
358274	DB06403
6146	DB00920
1749	DB01558
6759	DB00961
24305	DB05057
847083	DB05679
42316	DB00864
4103	DB00655
4980	DB09121
10114	DB00428
59768	DB00061
2709	DB00803
46967	DB06761
83719	DB00365
20481	DB01413
10237	DB00605
1423270	DB09397
1092437	DB08879
20352	DB01136
3001	DB00979
67109	DB06779
30257	DB09242
