MESH 	 drugbank_ids with | as seperator  
C520390	DB08865
C538724	DB08828
C542869	DB00083
C446481	DB09026
C407002	DB04862
C090092	DB05018
C561435	DB09143
C112528	DB08933
C115201	DB05105
C439584	DB05414
C496932	DB06603
C475457	DB00992
C049935	DB09495
C097558	DB04897
C431129	DB05191
C032257	DB06800
D004980	DB00753
C026718	DB00981
D006589	DB07931
C031545	DB09208
C060076	DB06796
C121876	DB04976
D006514	DB11627
C580773	DB05251
C100708	DB04911
C549647	DB09080
C103422	DB11062
C089740	DB05812
C079703	DB06201
C068538	DB00681
C542870	DB00083
C533860	DB08932
C477042	DB06743
C049947	DB04858
D012965	DB09153
C085215	DB05790
C027385	DB09070
D000069604	DB06695
D024341	DB00137
C581106	DB08913
C031060	DB08797
C118580	DB09496
C583636	DB09272
C060347	DB06791
C106856	DB09335
C020365	DB06789
C102282	DB04947
C106276	DB06268
C521047	DB05216
C092280	DB04892
C120158	DB05808
C100286	DB05246
C066425	DB09235
C075228	DB06746
D000967	DB05630
D010281	DB05829
C072876	DB08880
C029620	DB09561
C088327	DB06809
C023635	DB09123
C523483	DB08890
C034837	DB09137
C495817	DB05487
C085266	DB04982
C042533	DB06410
C419664	DB06267
C500026	DB09073
C437683	DB05428
C036007	DB08807
C118667	DB04855
C527525	DB08880
C012419	DB05855
C112765	DB05134
C106592	DB05403
C415329	DB08823
D000068898	DB06817
D000068896	DB08907
C524142	DB05528
C559147	DB08896
C404768	DB04879
C020174	DB01143
D002086	DB09300
C038192	DB09156
C524947	DB05051
D013627	DB09511
C078700	DB09160
C061400	DB00773
D002809	DB09301
C012052	DB06288
C487637	DB06402
D000069476	DB08882
C503700	DB04902|DB08816
D022362	DB10989
D008794	DB09346
C084600	DB08976
D025101	DB00165
C520025	DB08893
C518915	DB05885
C065533	DB08922
C560077	DB08911
C495058	DB04895
D011092	DB09287
C030242	DB09394
C479163	DB08895
C078143	DB00391
D016179	DB00099
C119141	DB04938
C449219	DB06713
C020960	DB09017
C542518	DB05047
D000515	DB00058
D000068717	DB05259
C452423	DB05294
D017762	DB08813
C561627	DB08912
C551803	DB09053
C101222	DB09146
C512420	DB04933
C099245	DB06211
C081587	DB09267
C530825	DB05060
C522924	DB08916
C528070	DB05297
C117446	DB06441
C512195	DB05719
