CTD MESH/OMIM 	 type 	 CTD cuis divided by | 	 Disease ontology divided by | 	 cui names 
D003925	MESH		DOID:11713	
D014973	MESH		DOID:3345	
D019586	MESH		DOID:9428	
D004239	MESH		DOID:13254	
D006502	MESH		DOID:11512	
D005922	MESH		DOID:2986	
D045743	MESH		DOID:1580	
D006506	MESH		DOID:12549	
D006501	MESH		DOID:12550|DOID:13413	
D045745	MESH		DOID:1577	
D003922	MESH		DOID:9744	
D006509	MESH		DOID:2043	
D008206	MESH		DOID:75	
D020754	MESH		DOID:1441	
D018218	MESH		DOID:3355	
D009357	MESH		DOID:9828	
D018213	MESH		DOID:3347	
D018212	MESH		DOID:4305	
D013577	MESH		DOID:225	
D013576	MESH		DOID:11193	
C538231			DOID:3910	
D002194	MESH		DOID:6680	
D020759	MESH		DOID:6712	
D011087	MESH		DOID:8997	
D020758	MESH		DOID:178	
D004698	MESH		DOID:4562	
D001404	MESH		DOID:9643	
D004694	MESH		DOID:0050651	
D004695	MESH		DOID:12929	
D008118	MESH		DOID:13523	
D018325	MESH		DOID:5241	
D018324	MESH		DOID:2725	
D001982	MESH		DOID:1176	
D009140	MESH		DOID:17	
D016918	MESH		DOID:6196	
D016919	MESH		DOID:0080159	
D009422			DOID:863	
D018328	MESH		DOID:4359	
D000868	MESH		DOID:3933	
D000686	MESH		DOID:9120	
D016114	MESH		DOID:1700	
D046351	MESH		DOID:13270	
D049912	MESH		DOID:6255	
D008060	MESH		DOID:811	
D004405	MESH		DOID:12385	
D008064	MESH		DOID:9455	
D008067	MESH		DOID:10192|DOID:3315	
D008068	MESH		DOID:3153	
D010279	MESH		DOID:11201	
D054429	MESH		DOID:0050458	
D013274			DOID:10534	
D010051			DOID:2394	
D012393	MESH		DOID:8881	
D007246	MESH		DOID:5223	
D007248			DOID:12336	
D010505	MESH		DOID:2987	
D000592	MESH		DOID:9252	
D008471	MESH		DOID:11049	
D017889	MESH		DOID:13641	
D007806	MESH		DOID:93	
D003969	MESH		DOID:5574|DOID:6977	
D018195	MESH		DOID:1974	
D018196	MESH		DOID:4830	
D018197	MESH		DOID:687	
D016135			DOID:1089	
D015620	MESH		DOID:2570	
D015624	MESH		DOID:0050214	
D008924	MESH		DOID:7894	
D010698			DOID:11257|DOID:591	
D013921			DOID:1588	
D001238	MESH		DOID:11088	
D011128	MESH		DOID:11577|DOID:4307	
D011129	MESH		DOID:4308	
D058922	MESH		DOID:6263	
D004696	MESH		DOID:10314	
D014190	MESH		DOID:1233	
D009855	MESH		DOID:11678	
D007690	MESH		DOID:898	
D008588	MESH		DOID:1088	
D008587	MESH		DOID:10310	
D008584	MESH		DOID:11572	
D008585	MESH		DOID:0080176	
D008850	MESH		DOID:10629	
D008583	MESH		DOID:0080179	
D008581	MESH		DOID:9471	
D013981	MESH		DOID:2768|DOID:2769|DOID:10600	
D013984	MESH		DOID:4109	
D013964			DOID:3963|DOID:2891|DOID:1781	
D013742	MESH		DOID:11338	
D003108	MESH		DOID:5353	
D003103	MESH		DOID:12270	
D014352	MESH		DOID:10113	
D017453			DOID:2772	
D014353	MESH		DOID:10112	
D013182	MESH		DOID:10607	
D012163	MESH		DOID:5327	
D012162			DOID:8466	
D012164	MESH		DOID:5679	
D006712	MESH		DOID:9263	
D002561			DOID:6713	
D006044	MESH		DOID:13197	
D006042	MESH		DOID:12176	
D003616	MESH		DOID:2785	
D006998	MESH		DOID:12883	
D006229	MESH		DOID:3158	
D012559			DOID:5419	
D011928	MESH		DOID:10300	
D017086	MESH		DOID:12241	
D012563	MESH		DOID:778|DOID:1229	
D012569	MESH		DOID:10646	
D004802	MESH		DOID:999	
D020293	MESH		DOID:525|DOID:2555	
D020294	MESH		DOID:3635	
D020295	MESH		DOID:4203	
D001984	MESH		DOID:3906	
D001987	MESH		DOID:9563	
D001989	MESH		DOID:2799	
D001321			DOID:12849	
D006530	MESH		DOID:11823	
D055728	MESH		DOID:4971	
D005621	MESH		DOID:12705	
D009181	MESH		DOID:1564	
D009182	MESH		DOID:8691	
D009187	MESH		DOID:322	
D018200	MESH		DOID:4236	
D018205	MESH		DOID:3315	
D002189	MESH		DOID:9505|DOID:1849	
D002180	MESH		DOID:14262	
D002181	MESH		DOID:2272	
D008103	MESH		DOID:5082	
D005756	MESH		DOID:4029	
D005757	MESH		DOID:8929	
D008107			DOID:409	
D008104	MESH		DOID:14018	
D008105	MESH		DOID:12236	
D019957	MESH		DOID:9923	
D019956	MESH		DOID:2303	
D019955			DOID:12995	
D009459	MESH		DOID:14464	
D014328	MESH		DOID:4085	
D006391	MESH		DOID:255|DOID:474|DOID:468|DOID:277	
D009450	MESH		DOID:3309	
D002546			DOID:224	
D004374			DOID:13832	
D004370	MESH		DOID:12557	
D044882			DOID:4194	
D000690			DOID:332	
D004379	MESH		DOID:10021|DOID:1737	
D004378	MESH		DOID:4072	
D000052	MESH		DOID:3138	
D010267	MESH		DOID:9088	
D010264	MESH		DOID:607	
D010265	MESH		DOID:6536	
D019559	MESH		DOID:14400	
D014391	MESH		DOID:9861	
D010518	MESH		DOID:824	
D010049	MESH		DOID:1100	
D007905	MESH		DOID:110	
D002779			DOID:13580	
D014125	MESH		DOID:13336	
D019636	MESH		DOID:1289	
D000275	MESH		DOID:4964	
D010190			DOID:1793	
D052556	MESH		DOID:14504	
D010195	MESH		DOID:4989	
D010198	MESH		DOID:12450	
D020967	MESH		DOID:0050759|DOID:450	
D020961	MESH		DOID:12217	
D020968	MESH		DOID:10383|DOID:3689	
D023921	MESH		DOID:4248	
D018979	MESH		DOID:3429	
D007619	MESH		DOID:0050144	
D007589	MESH		DOID:3261	
D021183			DOID:4378	
D021182	MESH		DOID:3660	
D008664	MESH		DOID:896	
D010995	MESH		DOID:1532	
D011020	MESH		DOID:11339	
D010689	MESH		DOID:864	
D011024	MESH		DOID:10533	
D019873	MESH		DOID:4371	
D003291	MESH		DOID:1768	
D012220			DOID:4483	
D012222	MESH		DOID:4731	
D012223	MESH		DOID:4730	
D001168	MESH		DOID:848	
D006929	MESH		DOID:12028|DOID:446	
D007057	MESH		DOID:1697	
D009845	MESH		DOID:14228	
D018549	MESH		DOID:0050157	
D016697	MESH		DOID:9210	
D012594	MESH		DOID:419|DOID:8472	
D012595	MESH		DOID:418	
D015814	MESH		DOID:790	
D015812	MESH		DOID:13550	
D017675	MESH		DOID:0060218	
D008480	MESH		DOID:819	
D017246	MESH		DOID:12558	
D006456	MESH		DOID:582	
D006457	MESH		DOID:0060284	
D013953	MESH		DOID:3277	
D013959			DOID:50	
D003112	MESH		DOID:3876	
D013771			DOID:6419	
D014398	MESH		DOID:9733	
D003117	MESH		DOID:13399|DOID:11661|DOID:13912|DOID:13910|DOID:13911|DOID:13909	
D012178	MESH		DOID:13025	
D012170	MESH		DOID:1727	
D013174	MESH		DOID:14484	
D012174	MESH		DOID:10584	
D012175	MESH		DOID:4648|DOID:768	
D006058	MESH		DOID:2277	
D006059	MESH		DOID:14447	
D006053	MESH		DOID:2907	
D016553	MESH		DOID:8924	
D006981	MESH		DOID:2855	
D006983	MESH		DOID:420	
D014515	MESH		DOID:1426	
D014516	MESH		DOID:11819|DOID:11885	
D012772	MESH		DOID:14115	
D013313			DOID:2055	
D012778	MESH		DOID:10605	
D017094	MESH		DOID:3133	
D018316	MESH		DOID:3071	
